ID;Date d'acquisition;Nombre de fois exposé;Domaine;nomImage;Titre principal;Prénom NOM
27;2006;0;Publication, livre, reliure;3D01973.JPG;Fluxus international & C°;Anonyme (fluxus)
28;2006;0;Publication, livre, reliure;3D01987.JPG;Fluxus;Anonyme (fluxus)
29;2006;0;Publication, livre, reliure;3D02085.JPG;Périodique Fluxus Rubber Stamps;Anonyme (fluxus)
30;2006;0;Publication, livre, reliure;3D02080.JPG;Livre XXXII Esposizione Biennale Internazionale d'Arte Venezia 1964Stati Uniti d'America;Anonyme (sans précision)
31;2006;0;Publication, livre, reliure;3D02082.JPG;Livre France;Anonyme (sans précision)
32;2006;0;Publication, livre, reliure;3D02083.JPG;Livre Viseux Hernandez Titus-Carmel Boltanski Le Gac;Anonyme (sans précision)
33;2006;0;Publication, livre, reliure;;Livre La Post-Avanguardia;Anonyme (sans précision)
34;2012;7;Oeuvre en 3 dimensions;3C00413.JPG;the tiles are black in the studio area;Leonor ANTUNES
35;1986;10;Photographie;3C00412.JPG;(Sans titre);Dieter APPELT
36;1986;10;Photographie;3C00411.JPG;(Sans titre);Dieter APPELT
37;1986;10;Photographie;3C00409.JPG;(Sans titre);Dieter APPELT
38;1986;19;Photographie;3C00415.JPG;Glasraum;Dieter APPELT
39;1986;19;Photographie;3C00414.JPG;Glasraum;Dieter APPELT
40;1986;19;Photographie;5D29596.JPG;Glasraum;Dieter APPELT
41;2007;4;Nouveaux médias;3L02501.JPG;Duettino;Vasco ARAUJO
42;1997;13;Sculpture;3L02500.JPG;Sans titre (FS 2);John M ARMLEDER (John Michael ARMLEDER, dit)
43;1997;4;Sans domaine déterminé;3L02502.JPG;Sans titre (FS 5);John M ARMLEDER (John Michael ARMLEDER, dit)
44;1997;5;Peinture;3L02652.JPG;Sans titre;John M ARMLEDER (John Michael ARMLEDER, dit)
45;2000;14;Estampe;3L02647.JPG;La Grotte de Donant, Belle-Ile-en-Mer;Isabelle ARTHUIS
46;2000;8;Photographie;3L02648.JPG;L'Eclipse 1;Isabelle ARTHUIS
47;2000;4;Photographie;3L02649.JPG;L'Eclipse 2;Isabelle ARTHUIS
48;2000;4;Photographie;3L02650.JPG;L'Eclipse 3;Isabelle ARTHUIS
49;2000;4;Photographie;3L02651.JPG;L'Eclipse 4;Isabelle ARTHUIS
50;2000;4;Photographie;5D34681.JPG;L'Eclipse 5;Isabelle ARTHUIS
51;2009;2;Photographie;5D34682.JPG;Pleine lune;Isabelle ARTHUIS
52;2009;1;Photographie;5D34683.JPG;Sans titre, Walter Swennen;Isabelle ARTHUIS
53;2009;1;Photographie;5D34684.JPG;Pâo de açÌÈcar;Isabelle ARTHUIS
54;2009;2;Photographie;5D34685.JPG;Seja marginal, seja heroi, Helio Oiticica;Isabelle ARTHUIS
55;2009;2;Photographie;5D34686.JPG;Rue Bouchot, Bruxelles;Isabelle ARTHUIS
56;2009;2;Photographie;5D34687.JPG;Le Palais, Belle-Ile-en-Mer;Isabelle ARTHUIS
57;2009;1;Photographie;5D34688.JPG;Ascenceur;Isabelle ARTHUIS
58;2009;2;Photographie;5D34689.JPG;"Paysage, extrait de la série ""Transcendance""";Isabelle ARTHUIS
59;2009;3;Photographie;5D34690.JPG;Observatoire, New Delhi;Isabelle ARTHUIS
60;2009;2;Photographie;5D34692.JPG;Flag, Indira Gandhi Center, New Delhi;Isabelle ARTHUIS
61;2009;3;Photographie;5D34691.JPG;Sculpture romaine;Isabelle ARTHUIS
62;2009;2;Photographie;5D34693.JPG;Marionnette indienne;Isabelle ARTHUIS
63;2009;3;Photographie;5D34694.JPG;Sans titre, Victor Vasarely;Isabelle ARTHUIS
64;2009;3;Photographie;5D34695.JPG;Dessin de prisonnière, Yedi Kule, Thessalonique;Isabelle ARTHUIS
65;2009;3;Photographie;5D34696.JPG;Passe-muraille, Erwan Mahéo, Yedi Kule, Thessalonique;Isabelle ARTHUIS
66;2009;2;Photographie;5D34697.JPG;A sculpture about space, Lionel Estève;Isabelle ARTHUIS
67;2009;2;Photographie;5D34698.JPG;Sarah Bernhardt;Isabelle ARTHUIS
68;2009;3;Photographie;5D34699.JPG;Rocher, Lot;Isabelle ARTHUIS
69;2009;2;Photographie;5D34700.JPG;Sans titre, Moholy-Nagy;Isabelle ARTHUIS
70;2009;3;Photographie;5D34701.JPG;Mer Egée;Isabelle ARTHUIS
71;2009;3;Photographie;5D34702.JPG;R1gordini, Erwan Mahéo;Isabelle ARTHUIS
72;2009;2;Photographie;5D34703.JPG;Sans titre, Eugène Leroy;Isabelle ARTHUIS
73;2009;2;Photographie;5D34704.JPG;La biche, Locmaria;Isabelle ARTHUIS
74;2009;2;Photographie;5D34705.JPG;Pedra da Baleia;Isabelle ARTHUIS
75;2009;3;Photographie;5D34706.JPG;Burle Marx, Urca;Isabelle ARTHUIS
76;2009;3;Photographie;5D34707.JPG;Sagrada Familia, Barcelone;Isabelle ARTHUIS
77;2009;2;Photographie;5D34708.JPG;Coupe d'Europe, Bruxelles;Isabelle ARTHUIS
78;2009;2;Photographie;5D34709.JPG;Viewer / Maricà, Jean-Pascal Flavien;Isabelle ARTHUIS
79;2009;2;Photographie;5D34710.JPG;"Vanité, extrait de la série ""Transcendance""";Isabelle ARTHUIS
